Application, Window Text, Action Object, Object Text, Time(1 = 100 nanosec)
helloworld.Form1, Text: 実験開始, System.Windows.Forms.Button, Text: 実験を開始する, 12012022
helloworld.insertMoney, Text: 無題ページ, System.Windows.Forms.Button, Text: 50, 31980057
helloworld.insertMoney, Text: 無題ページ, System.Windows.Forms.Button, Text: 100, 35100062
helloworld.insertMoney, Text: 無題ページ, System.Windows.Forms.Button, Text: 500, 38376068
helloworld.insertMoney, Text: 無題ページ, System.Windows.Forms.Button, Text: 1000, 42276075
helloworld.insertMoney, Text: 無題ページ, System.Windows.Forms.Button, Text: 食券を選ぶ, 55068097
helloworld.insertMoney, Text: 無題ページ, System.Windows.Forms.Button, Text: 購入をやめる, 67548119
helloworld.formEnd, Text: 無題ページ, System.Windows.Forms.Button, Text: 終了する, 98124173
